type      	subtype   	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk%   	O_Risk%   	B_VaR     	O_VaR     	T_VaR     	B_CVaR    	O_CVaR    	T_CVaR    
tm        	0.55-0.37 	14751.6214	0.55      	1792.2544 	5106.90467225	5106.90467225	4.86778324	18.86033944	-5066.14630415	-7530.08379745	-12596.2301016	-6137.3830576	-8155.46468452	-14292.84774212
tm        	0.55-0.38 	14517.4687	0.55      	1840.6937 	5106.90467225	5106.90467225	5.09312569	19.17733413	-5136.10400903	-7599.61505185	-12735.71906088	-6239.05552918	-8231.96795674	-14471.02348592
tm        	0.55-0.39 	14283.3159	0.55      	1889.133  	5106.90467225	5106.90467225	5.3184726 	19.49524317	-5208.35499489	-7669.49604671	-12877.8510416	-6342.17890423	-8308.71522923	-14650.89413346
tm        	0.55-0.4  	14049.1632	0.55      	1937.5723 	5106.90467225	5106.90467225	5.54382339	19.81399797	-5282.72954303	-7739.71139328	-13022.44093631	-6446.65603833	-8385.69562264	-14832.35166097
tm        	0.55-0.41 	13815.0105	0.55      	1986.0116 	5106.90467225	5106.90467225	5.76917759	20.13353664	-5359.07961343	-7810.2467838	-13169.32639723	-6552.40077645	-8462.89903266	-15015.29980911
tm        	0.55-0.42 	13580.8578	0.55      	2034.4509 	5106.90467225	5106.90467225	5.99453479	20.45380321	-5437.27490782	-7881.08888903	-13318.36379685	-6659.33620067	-8540.31605548	-15199.65225615
tm        	0.55-0.43 	13346.7051	0.55      	2082.8902 	5106.90467225	5106.90467225	6.21989465	20.77474688	-5517.19985025	-7952.22526788	-13469.42511814	-6767.39323697	-8617.93792221	-15385.33115918
tm        	0.55-0.44 	13112.5523	0.55      	2131.3296 	5106.90467225	5106.90467225	6.44525688	21.09632148	-5598.75122769	-8023.6442874	-13622.39551509	-6876.50953188	-8695.7564409	-15572.26597278
tm        	0.55-0.45 	12878.3996	0.55      	2179.7689 	5106.90467225	5106.90467225	6.67062123	21.41848496	-5681.83631667	-8095.33505175	-13777.17136842	-6986.6285355	-8773.76394521	-15760.39248071
tm        	0.55-0.46 	12644.2469	0.55      	2228.2082 	5106.90467225	5106.90467225	6.89598749	21.74119892	-5766.37137486	-8167.287339	-13933.65871386	-7097.69874496	-8851.95324869	-15949.65199366
tm        	0.55-0.47 	12410.0942	0.55      	2276.6475 	5106.90467225	5106.90467225	7.12135545	22.0644282	-5852.28041166	-8239.49154464	-14091.7719563	-7209.6730742	-8930.31760412	-16139.99067832
